2017-01-16 18:03:28 install debconf:all <none> 1.5.56
2017-01-16 18:03:28 status half-installed debconf:all 1.5.56
2017-01-16 18:03:31 status unpacked debconf:all 1.5.56
2017-01-16 18:03:31 status unpacked debconf:all 1.5.56
2017-01-16 18:03:31 install debconf-i18n:all <none> 1.5.56
2017-01-16 18:03:31 status half-installed debconf-i18n:all 1.5.56
2017-01-16 18:03:33 status unpacked debconf-i18n:all 1.5.56
2017-01-16 18:03:33 status unpacked debconf-i18n:all 1.5.56
2017-01-16 18:03:33 install debianutils:amd64 <none> 4.4+b1
2017-01-16 18:03:33 status half-installed debianutils:amd64 4.4+b1
2017-01-16 18:03:34 status unpacked debianutils:amd64 4.4+b1
2017-01-16 18:03:34 status unpacked debianutils:amd64 4.4+b1
2017-01-16 18:03:35 install diffutils:amd64 <none> 1:3.3-1+b1
2017-01-16 18:03:35 status half-installed diffutils:amd64 1:3.3-1+b1
2017-01-16 18:03:35 status unpacked diffutils:amd64 1:3.3-1+b1
2017-01-16 18:03:35 status unpacked diffutils:amd64 1:3.3-1+b1
2017-01-16 18:03:35 upgrade dpkg:amd64 1.17.27 1.17.27
2017-01-16 18:03:35 status half-configured dpkg:amd64 1.17.27
2017-01-16 18:03:36 status unpacked dpkg:amd64 1.17.27
2017-01-16 18:03:36 status half-installed dpkg:amd64 1.17.27
2017-01-16 18:03:38 status half-installed dpkg:amd64 1.17.27
2017-01-16 18:03:38 status unpacked dpkg:amd64 1.17.27
2017-01-16 18:03:38 status unpacked dpkg:amd64 1.17.27
2017-01-16 18:03:38 install e2fslibs:amd64 <none> 1.42.12-2+b1
2017-01-16 18:03:38 status half-installed e2fslibs:amd64 1.42.12-2+b1
2017-01-16 18:03:38 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-01-16 18:03:38 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-01-16 18:03:38 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2017-01-16 18:03:38 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2017-01-16 18:03:39 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-01-16 18:03:40 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-01-16 18:03:40 install libcomerr2:amd64 <none> 1.42.12-2+b1
2017-01-16 18:03:40 status half-installed libcomerr2:amd64 1.42.12-2+b1
2017-01-16 18:03:40 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-01-16 18:03:40 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-01-16 18:03:40 install libss2:amd64 <none> 1.42.12-2+b1
2017-01-16 18:03:40 status half-installed libss2:amd64 1.42.12-2+b1
2017-01-16 18:03:41 status unpacked libss2:amd64 1.42.12-2+b1
2017-01-16 18:03:41 status unpacked libss2:amd64 1.42.12-2+b1
2017-01-16 18:03:41 install findutils:amd64 <none> 4.4.2-9+b1
2017-01-16 18:03:41 status half-installed findutils:amd64 4.4.2-9+b1
2017-01-16 18:03:42 status unpacked findutils:amd64 4.4.2-9+b1
2017-01-16 18:03:42 status unpacked findutils:amd64 4.4.2-9+b1
2017-01-16 18:03:42 install gcc-4.8-base:amd64 <none> 4.8.4-1
2017-01-16 18:03:42 status half-installed gcc-4.8-base:amd64 4.8.4-1
2017-01-16 18:03:43 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-01-16 18:03:43 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-01-16 18:03:43 install gcc-4.9-base:amd64 <none> 4.9.2-10
2017-01-16 18:03:43 status half-installed gcc-4.9-base:amd64 4.9.2-10
2017-01-16 18:03:43 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-01-16 18:03:44 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-01-16 18:03:44 install libgcc1:amd64 <none> 1:4.9.2-10
2017-01-16 18:03:44 status half-installed libgcc1:amd64 1:4.9.2-10
2017-01-16 18:03:44 status unpacked libgcc1:amd64 1:4.9.2-10
2017-01-16 18:03:44 status unpacked libgcc1:amd64 1:4.9.2-10
2017-01-16 18:03:45 install libc-bin:amd64 <none> 2.19-18+deb8u7
2017-01-16 18:03:45 status half-installed libc-bin:amd64 2.19-18+deb8u7
2017-01-16 18:03:46 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-01-16 18:03:46 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-01-16 18:03:46 upgrade libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-01-16 18:03:46 status half-configured libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:46 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:46 status half-installed libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 status half-installed libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 install multiarch-support:amd64 <none> 2.19-18+deb8u7
2017-01-16 18:03:53 status half-installed multiarch-support:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-01-16 18:03:53 install grep:amd64 <none> 2.20-4.1
2017-01-16 18:03:53 status half-installed grep:amd64 2.20-4.1
2017-01-16 18:03:55 status unpacked grep:amd64 2.20-4.1
2017-01-16 18:03:55 status unpacked grep:amd64 2.20-4.1
2017-01-16 18:03:55 install gzip:amd64 <none> 1.6-4
